Name,Link,Type,Domain,Language*
Mixkit,https://mixkit.co/,Website,Design,"Photos, Videos"
Automate the Boring Stuff With Python,https://automatetheboringstuff.com/,Book,Programming,Python
Code Sandbox,https://codesandbox.io/?from-app=1,IDE,Practise,General
Codechef,https://www.codechef.com/,Training,Practise,General
CodeChef,https://www.codechef.com/,Training,Practise,General
Codemy.com,https://www.youtube.com/channel/UCFB0dxMudkws1q8w5NJEAmw,YouTube Channel,Programming,General
Codepen,https://codepen.io/about,IDE,Practise,General
Codewars,https://www.codewars.com/,Training,Practise,General
Corey Schafer,https://www.youtube.com/user/schafer5,YouTube Channel,Python,Python
Coverr,https://coverr.co/,Website,Design,Videos
CSE & Programming Guide,https://github.com/P1xt/p1xt-guides,Website,Programming,General
CSS Reference,https://cssreference.io/,Website,Front End,CSS
CSS-Tricks,https://css-tricks.com/,Website,Front End,CSS
Dev Ed,https://www.youtube.com/channel/UClb90NQQcskPUGDIXsQEz5Q,YouTube Channel,Web Development,"CSS, HTML, JavaScript"
Dev Hints,https://devhints.io/,Website,Practise,General
Devdocs,https://devdocs.io/,Documentation,Web Development,General
Digital Ocean,https://www.digitalocean.com/,Website,Hosting,General
EDx,https://www.edx.org/,Course,Learn,General
Eloquent JavaScript,https://eloquentjavascript.net/,Book,Programming,JavaScript
Exercism,https://exercism.com/,Training,Practise,General
Figma,https://www.figma.com/,Website,Design,Mock Up
Fireship,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,YouTube Channel,Web Development,"CSS, JavaScript"
Flat Icons,https://www.flaticon.com/,Website,Design,Icons
Font Awesome 6,https://fontawesome.com/,Website,Design,Fonts
FreeCodeCamp,https://www.freecodecamp.org/learn,Course,Programming,General
FreeCodeCamp,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,YouTube Channel,All,General
Full Stack Open,https://fullstackopen.com/en/,Course,Web Development,React
GitHub Pages,https://pages.github.com/,Website,Hosting,General
Google Fonts,https://fonts.google.com/,Website,Design,Fonts
Heroku App,https://www.heroku.com/,Website,Hosting,General
Icons8,https://icons8.com/animated-icons,Website,Design,Icons
JavaScript Mastery,https://www.youtube.com/channel/UCmXmlB4-HJytD7wek0Uo97A,YouTube Channel,Web Development,JavaScript
Jdoodle,https://www.jdoodle.com/,IDE,Practise,General
Khan Academy,https://www.khanacademy.org/,MOOC,Learn,General
Learncpp,https://www.learncpp.com/,Course,Programming,C++
Leet Code,https://leetcode.com/,Training,Practise,General
MDN Web Docs,https://developer.mozilla.org/en-US/,Documentation,Web Development,General
mem.dev,https://mem.dev/,Website,Practise,General
Netlify,https://www.netlify.com/,Website,Hosting,General
Online GDB,https://www.onlinegdb.com/,IDE,Practise,General
OSS,https://ossu.firebaseapp.com/#/curriculum,MOOC,Learn,General
Pexeks,https://www.pexels.com/,Website,Design,Photos
Programming Knowledge,https://www.youtube.com/user/ProgrammingKnowledge,YouTube Channel,All,General
Programming with Mosh,https://www.youtube.com/user/programmingwithmosh,YouTube Channel,Programming,General
Repl.it,https://replit.com/,IDE,Practise,General
Sentdex,https://www.youtube.com/user/sentdex,YouTube Channel,Python,Python
The Coding Train,https://www.youtube.com/user/shiffman,YouTube Channel,Web Development,"JavaScript, Python"
The Net Ninja,https://www.youtube.com/channel/UCW5YeuERMmlnqo4oq8vwUpg,YouTube Channel,All,General
The Odin Project,https://www.theodinproject.com/dashboard,Course,Web Development,"CSS, HTML, JavaScript, Node, React"
Traversy Media,https://www.youtube.com/user/TechGuyWeb,YouTube Channel,"All, Web Development","CSS, HTML, JavaScript, Node, React"
Undraw,https://undraw.co/,Website,Design,Photos
Unsplash,https://unsplash.com/,Website,Design,Photos
Web Dev Simplified,https://www.youtube.com/channel/UCFbNIlppjAuEX4znoulh0Cw,YouTube Channel,Web Development,"CSS, HTML, JavaScript, Node, React"
You Don't Know JS Yet,https://github.com/getify/You-Dont-Know-JS,Book,Programming,JavaScript
Zeplin,https://zeplin.io/,Website,Design,Mock Up
